line_no,line_intensity,x_positions,y_positions,frame,x_posR,y_posR
0,0.7602156893308236,154,204,1,154,204
0,0.7602156893308236,155,205,1,155,205
0,0.7602156893308236,155,206,1,155,206
0,0.7602156893308236,156,207,1,156,207
0,0.7602156893308236,156,208,1,156,208
0,0.7602156893308236,157,209,1,157,209
0,0.7602156893308236,157,210,1,157,210
0,0.7602156893308236,158,211,1,158,211
0,0.7602156893308236,158,212,1,158,212
0,0.7602156893308236,159,213,1,159,213
0,0.7602156893308236,160,214,1,160,214
0,0.7602156893308236,161,215,1,161,215
0,0.7602156893308236,161,216,1,161,216
0,0.7602156893308236,162,217,1,162,217
0,0.7602156893308236,162,218,1,162,218
0,0.7602156893308236,163,219,1,163,219
0,0.7602156893308236,163,220,1,163,220
0,0.7602156893308236,164,221,1,164,221
0,0.7602156893308236,164,222,1,164,222
0,0.7602156893308236,165,223,1,165,223
0,0.7602156893308236,165,224,1,165,224
0,0.7602156893308236,166,225,1,166,225
0,0.7602156893308236,166,226,1,166,226
0,0.7602156893308236,167,227,1,167,227
0,0.7602156893308236,167,228,1,167,228
0,0.7602156893308236,168,229,1,168,229
0,0.7602156893308236,169,230,1,169,230
0,0.7602156893308236,169,231,1,169,231
0,0.7602156893308236,170,232,1,170,232
0,0.7602156893308236,170,233,1,170,233
0,0.7602156893308236,171,234,1,171,234
0,0.7602156893308236,171,235,1,171,235
0,0.7602156893308236,172,236,1,172,236
0,0.7602156893308236,172,237,1,172,237
0,0.7602156893308236,173,238,1,173,238
0,0.7602156893308236,173,239,1,173,239
0,0.7602156893308236,174,240,1,174,240
0,0.7602156893308236,174,241,1,174,241
0,0.7602156893308236,175,242,1,175,242
0,0.7602156893308236,175,243,1,175,243
0,0.7602156893308236,176,244,1,176,244
0,0.7602156893308236,176,245,1,176,245
0,0.7602156893308236,177,246,1,177,246
0,0.7602156893308236,178,247,1,178,247
0,0.7602156893308236,178,248,1,178,248
0,0.7602156893308236,179,249,1,179,249
0,0.7602156893308236,179,250,1,179,250
0,0.7602156893308236,180,251,1,180,251
0,0.7602156893308236,180,252,1,180,252
0,0.7602156893308236,181,253,1,181,253
0,0.7602156893308236,181,254,1,181,254
0,0.7602156893308236,182,255,1,182,255
0,0.7602156893308236,182,256,1,182,256
0,0.7602156893308236,183,257,1,183,257
0,0.7602156893308236,183,258,1,183,258
0,0.7602156893308236,184,259,1,184,259
0,0.7602156893308236,184,260,1,184,260
0,0.7602156893308236,185,261,1,185,261
0,0.7602156893308236,186,262,1,186,262
0,0.7602156893308236,186,263,1,186,263
0,0.7602156893308236,187,264,1,187,264
0,0.7602156893308236,187,265,1,187,265
0,0.7602156893308236,188,266,1,188,266
0,0.7602156893308236,188,267,1,188,267
0,0.7602156893308236,189,268,1,189,268
0,0.7602156893308236,189,269,1,189,269
0,0.7602156893308236,190,270,1,190,270
0,0.7602156893308236,190,271,1,190,271
0,0.7602156893308236,191,272,1,191,272
0,0.7602156893308236,191,273,1,191,273
0,0.7602156893308236,192,274,1,192,274
0,0.7602156893308236,192,275,1,192,275
0,0.7602156893308236,193,276,1,193,276
0,0.7602156893308236,193,277,1,193,277
0,0.7602156893308236,194,278,1,194,278
0,0.7602156893308236,195,279,1,195,279
0,0.7602156893308236,195,280,1,195,280
0,0.7602156893308236,196,281,1,196,281
0,0.7602156893308236,196,282,1,196,282
0,0.7602156893308236,197,283,1,197,283
0,0.7602156893308236,197,284,1,197,284
0,0.7602156893308236,198,285,1,198,285
0,0.7602156893308236,198,286,1,198,286
0,0.7602156893308236,199,287,1,199,287
0,0.7602156893308236,199,288,1,199,288
0,0.7602156893308236,200,289,1,200,289
0,0.7602156893308236,200,290,1,200,290
0,0.7602156893308236,201,291,1,201,291
0,0.7602156893308236,201,292,1,201,292
0,0.7602156893308236,202,293,1,202,293
0,0.7602156893308236,203,294,1,203,294
0,0.7602156893308236,203,295,1,203,295
0,0.7602156893308236,204,296,1,204,296
0,0.7602156893308236,204,297,1,204,297
0,0.7602156893308236,205,298,1,205,298
0,0.7602156893308236,205,299,1,205,299
0,0.7602156893308236,206,300,1,206,300
0,0.7602156893308236,206,301,1,206,301
0,0.7602156893308236,207,302,1,207,302
0,0.7602156893308236,207,303,1,207,303
0,0.7602156893308236,208,304,1,208,304
0,0.7602156893308236,208,305,1,208,305
0,0.7602156893308236,209,306,1,209,306
0,0.7602156893308236,209,307,1,209,307
0,0.7602156893308236,210,308,1,210,308
0,0.7602156893308236,211,309,1,211,309
0,0.7602156893308236,211,310,1,211,310
0,0.7602156893308236,212,311,1,212,311
0,0.7602156893308236,212,312,1,212,312
0,0.7602156893308236,213,313,1,213,313
0,0.7602156893308236,213,314,1,213,314
0,0.7602156893308236,214,315,1,214,315
0,0.7602156893308236,214,316,1,214,316
0,0.7602156893308236,215,317,1,215,317
0,0.7602156893308236,215,318,1,215,318
0,0.7602156893308236,216,319,1,216,319
0,0.7602156893308236,216,320,1,216,320
0,0.7602156893308236,217,321,1,217,321
